Date;Hour;Down;Up;Total;max Rate;avg Rate;avg Rate values;95% Rate
 13:00;13;181.289;970.853;1152.142;59483;4480;57;26518
 14:00;14;60.352;218.810;279.162;24316;1529;22;1361
 15:00;15;30.431;90.675;121.106;403;354;9;403
 16:00;16;0.124;0.212;0.336;3079;3079;1;3079
 15:00;15;0.349;0.593;0.942;119;0;0;0
 16:00;16;21.064;6.813;27.877;3527;2261;3;3527
 17:00;17;0.262;0.268;0.530;66;0;0;0
 18:00;18;76.692;254.324;331.016;22463;1432;32;3436
 19:00;19;28.471;68.224;96.695;489;358;25;429
 20:00;20;10.161;22.432;32.593;351;324;11;351
 21:00;21;10.228;26.328;36.556;546;336;15;546
 22:00;22;9.287;22.529;31.816;342;315;12;342
 23:00;23;9.547;23.286;32.833;382;330;11;382
2020-07-02 00:00;0;9.300;20.596;29.896;342;313;11;342
2020-07-02 01:00;1;19.566;27.673;47.239;3091;516;14;3091
2020-07-02 02:00;2;9.800;21.670;31.470;441;341;12;441
2020-07-02 03:00;3;11.754;24.587;36.341;586;379;13;586
2020-07-02 04:00;4;58.178;50.553;108.731;2911;669;33;2895
2020-07-02 05:00;5;93.389;88.779;182.168;3356;624;57;2007
2020-07-02 06:00;6;69.389;74.100;143.489;3157;581;49;1958
2020-07-02 07:00;7;57.429;66.023;123.452;3017;501;51;1929
2020-07-02 08:00;8;14.376;23.142;37.518;1501;405;18;1501
2020-07-02 09:00;9;17.358;22.606;39.964;1717;427;17;1717
2020-07-02 10:00;10;1.113;1.997;3.110;400;371;2;400
2020-07-03 10:00;10;1182.177;2153.973;3336.150;81037;11195;65;30912
